material_id,formula,e_above_hull_mp2020_corrected_ppd_mp
wbm-3-5977,As2 Pd2 Tm1,0.108419
wbm-2-43056,In2 Ni1 S4,0.109704
wbm-1-20015,Ge3 Ru3 U3,-0.036335
wbm-2-30520,Ga4 Na2 Pd2,0.030893
wbm-4-6864,As4 Co4 Ta2,0.260614
wbm-2-44755,Au2 Cd2 Rb2 Se4,0.013469
wbm-2-12676,Cr2 Hf2,0.227368
wbm-1-36458,Au2 Hg2 O4,0.016307
wbm-3-78862,Rh4 Tl2 Zr4,0.057855
wbm-1-44264,F1 O1 Th1,0.33187
wbm-1-11789,Ac2 Co1 Ir1,-0.117894
wbm-3-26661,Fe3 Pb3 Th3,0.1668
wbm-3-5167,Al2 Cs2 S6 Zn2,0.012335
wbm-1-45456,Au2 P1,0.278866
wbm-4-4185,B1 Ca1 In2 Ru2,0.072703
wbm-1-32022,As1 Bi2 Mg6 N1,0.04228
wbm-3-27585,Eu1 Ga2 Nd1,0.054292
wbm-4-37669,As4 Pd2 Ti2,0.200662
wbm-4-25690,Ca2 Hf2 O5 Se2,0.113755
wbm-1-59054,Se6 V4,0.18161
wbm-4-6677,Cl6 Fe1 Rb2,-0.011015
wbm-1-23905,La1 Li2 Nb2 O7,0.060403
wbm-4-31321,Ir2 Rh1 Th1,0.03491
wbm-3-62629,Rh1 Ru2 Sn4,0.170072
wbm-4-1864,Al2 Cl2 Tm2,0.130259
wbm-5-22347,Ce1 Rh2 Y1,0.076527
wbm-3-37126,Li1 Nb3 Te6,0.078132
wbm-1-33163,Ga4 Na1 Y1,0.010449
wbm-3-59269,P4 Pd4 Sr4,0.038703
wbm-3-9104,B3 Cu6 Zr3,0.425514
wbm-2-51020,In2 Sr1 V1,0.46348
wbm-1-16091,F6 K2 Na1 Pu1,0.035039
wbm-3-18305,Cr3 Fe2 In3,0.457678
wbm-5-22160,Nd1 Rh2 V1,0.188827
wbm-2-12848,Cr1 Hf1 Tc2,0.137467
wbm-1-29566,Fe2 In1 Mn1,0.363679
wbm-1-3764,As4 Sn4,0.056799
wbm-2-34457,Ba2 Nd1 O4,0.105008
wbm-4-9341,Cu2 Rh1 Zr1,0.124809
wbm-1-53394,Eu1 Re4 Si2,-0.05038
wbm-3-38616,Ca2 Mg2 Pb4,0.067774
wbm-2-36188,Ba2 O6 Ta1 Ti1,-0.029373
wbm-2-6912,Br6 Lu2,-0.02891
wbm-3-61529,Cd1 Pu1 Rh4,0.275671
wbm-2-2372,Al1 Ca1 Ni4,0.113464
wbm-3-50748,Al2 K4 O6,0.307751
wbm-2-41032,Hf2 Rh2,0.002806
wbm-4-11698,Fe2 Hf1 Ni1,0.175511
wbm-3-65650,Eu4 Sb8,-0.049342
wbm-1-37417,As2 Ba2 Ni3 O2,0.666768
wbm-5-4153,Cl6 Tm2,0.020228
wbm-4-11772,Fe4 Ru2 Th2,0.281033
wbm-4-19309,Ag4 Mg4 Tb4,0.019752
wbm-4-9918,Cu1 Rh2 Y3,0.024702
wbm-2-134,Ag3 Cd3 Sm3,-0.026233
wbm-2-32460,Ce4 Ga4 Ni2,0.132768
wbm-3-37935,In1 Mg2 Pu2,0.050382
wbm-4-21249,Fe4 Mn2 Pu4,0.043714
wbm-1-52869,Bi2 Se5 Sn2,0.002825
wbm-3-17643,Co1 Np1 Sb1,0.229675
wbm-1-61499,In4 Zr6,0.112249
wbm-3-30003,Ge2 Rh3 Ta1,0.457117
wbm-3-6161,As4 Au4 Yb2,0.036623
wbm-3-38895,Fe1 In1 Mg1,0.408407
wbm-3-73103,Hf2 Os2 Sn2,0.221908
wbm-3-70452,Br2 Si1 Sm3,0.044177
wbm-2-15182,F8 Mn2 Yb2,-0.022549
wbm-2-2320,Al1 Br3 Dy3,0.039429
wbm-5-12800,Cu1 Mn2 Y2,0.218406
wbm-3-55078,Hf1 O6 Sr2 Tb1,0.07035
wbm-3-61311,Rh4 Sb4 Tm2,0.199551
wbm-3-1502,Al6 Ca4 Ni2,0.009898
wbm-1-49747,Ge2 Ni4 S6,0.05804
wbm-2-8469,C2 Sb2 Ti6,-0.068301
wbm-3-41524,Cd3 Mn3 Tb3,0.59435
wbm-4-29835,P2 Sm2 Y2,0.164004
wbm-5-10502,In2 Sn2,0.10071
wbm-5-6684,F6 In1 K2,0.030785
wbm-1-6032,Be2 Er2 Si2,-0.07341
wbm-2-43244,As1 Au2 S1,0.608281
wbm-3-6221,As4 Hg2 Sr3,0.006345
wbm-4-36840,Ba2 Ir2 Sn2,0.036966
wbm-4-29557,Ir2 P2 Rb2,0.004855
wbm-2-17042,Ce1 Cu2 Fe3,0.11798
wbm-3-20299,As2 Cu1 Nd6,0.08582
wbm-1-4671,B4 Nb1 U1,0.103209
wbm-1-5355,B2 La2 Rh8,0.059714
wbm-2-5589,B4 Ho1 V1,0.16836
wbm-1-3198,As8 Au4,0.016687
wbm-3-37686,Al5 Mg2 Tb1,0.066282
wbm-3-74040,Ir4 Tb8,0.008794
wbm-1-8480,Ca1 Co1 Hg2,0.407749
wbm-3-37292,Li1 Ni2 P2 Tb1,0.001376
wbm-1-23545,Cd1 Fe1 Li2,0.381378
wbm-2-39650,Pd4 Pu4 Tl2,-0.058946
wbm-1-30574,Ho2 N4 Sr2,0.270183
wbm-3-22408,Co1 Cs1 F6,-0.141961
wbm-4-20570,Er1 Mn2 Th1,0.164936
wbm-1-43084,Ba3 O7 Tb2,0.0778
wbm-3-13644,Ca2 Sb2 Tm2,0.031824
wbm-3-47983,Ni2 Sm1 Sn3,0.616956
wbm-1-21801,Ho2 I6,-0.001828
wbm-2-51171,Cd4 Pt2 Y2,-0.00801
wbm-1-32148,N2 O4 Sr2 V2,0.249043
wbm-1-39661,Fe2 O6 Si2,0.301825
wbm-4-1151,Al3 Mn1 Si2 V3,0.252975
wbm-2-32109,Ni4 Pu1 Zn1,0.266613
wbm-2-50338,Ge2 Se6 Ti2,0.085044
wbm-4-24457,Ga4 Ni2 Rh2,0.042168
wbm-4-3414,As2 Rb4 Rh2,0.189145
wbm-2-12559,Co2 Cr2 Ga4,0.240053
wbm-4-24131,Ga2 Ni3 U1,0.113673
wbm-1-6678,C4 Co2 Gd2,0.107857
wbm-3-62097,Rh1 Sb1 Yb2,0.257576
wbm-4-18590,Gd1 Li1 P2 Rh2,-0.071337
wbm-2-47187,Cu4 Ho2 Si2,0.059531
wbm-4-11598,Dy3 Fe2 Ge7,-0.023351
wbm-2-43485,In4 S2 Se4,0.021293
wbm-3-75449,In4 Pu1 V2,0.24973
wbm-3-66409,Sc2 Tl1 Zn2,-0.003214
wbm-1-61158,Se4 Tl2 Zn1,0.030486
wbm-3-56172,Co1 Cs1 Mo2 O8,0.049797
wbm-2-22459,In2 Pt3 Yb1,0.135385
wbm-4-24096,Ir1 Ni2 Zr1,0.010162
wbm-2-2470,Al1 Cr2 Ni2,0.399846
wbm-3-20403,Au1 Cu1 Pu2,-0.028562
wbm-2-49048,Sn1 Tb1 Te2,0.35547
wbm-3-40353,As4 Ho2 Mn4,0.246252
wbm-3-15897,Co4 Pd2 Sn2,0.258714
wbm-3-36441,Li2 O7 V2 Yb1,0.007871
wbm-5-12914,Mn4 Pu2 Rh2,0.393729
wbm-2-22831,In2 Pt4 Tm2,0.091361
wbm-5-6069,Dy1 Tl1,-0.008621
wbm-3-78245,Hg1 Pt2 Zn1,0.19637
wbm-1-8487,Ca3 Co3 Pb3,0.370186
wbm-1-10216,Cl12 Rb4 Rh4,0.08936
wbm-4-30814,La2 Pt2 Rb2 Te6,0.08868
wbm-2-32347,Cd2 Ho1 Ni1,0.255801
wbm-4-1220,Al3 Os1 Sn2 Tb3,0.029077
wbm-3-76783,Ge7 Th3 Zn2,0.125514
wbm-4-6110,Cd2 Ce1 Sm1,0.046335
wbm-4-34016,Mn1 Sc1 Te2,0.264527
wbm-3-4371,Al1 Eu1 Ge3,0.099427
wbm-2-21163,H4 Sn2 Tb6,0.08736
wbm-4-33540,Ir2 Mn6 Sc4,0.001368
wbm-2-1677,Al6 Os2 Zr4,-0.066265
wbm-2-49333,Nb1 Sn2 Sr1,0.499613
wbm-2-16016,F6 Ge1 Ni1,-0.017967
wbm-1-46600,Cd1 Pd2 U1,0.116857
wbm-2-42265,S6 Sr3,0.207349
wbm-2-37822,Er2 Ni4 P4,0.030228
wbm-2-34722,Cu2 Fe2 O8,0.445974
wbm-1-9578,Cd2 Ce2 Cs2 Te6,0.027644
wbm-1-988,Al2 Sn4 Sr3,0.015162
wbm-1-43351,Gd2 O7 Si2,0.001261
wbm-4-17523,Ge4 K2 Pu4,0.417366
wbm-4-8223,Ba4 Co4 Zn4,0.308938
wbm-3-4892,Al1 Pd5 Te1,0.042334
wbm-1-22541,Br6 K2 Ru1,-0.008696
wbm-2-20755,Ge4 Np4 Rh4,0.034333
wbm-3-8044,B4 Pr2 Pt4,0.158479
wbm-2-46168,Rh2 Si4 Ti4,0.058073
wbm-5-4052,Bi1 Ce1 Hg2,0.033617
wbm-2-21863,Ga1 Ge1 H1 Y1,0.191009
wbm-3-66449,Cu2 Sc3 Zn1,0.005046
wbm-3-27162,Cs2 Dy2 Fe2 Te6,0.022582
wbm-3-53050,Ba2 O6 Pu1 Ta1,0.008612
wbm-2-48923,Ac1 Ir2 Sn1,0.096421
wbm-3-72968,Au2 Sn2 Th2,0.003154
wbm-2-39545,Ir3 La1 Pd2,0.072424
wbm-2-40117,La2 Pd1 Sn1,0.121226
wbm-4-29696,P4 Se4 Zr4,0.154572
wbm-4-14422,Ge4 Hf4 In2,0.255842
wbm-4-26208,Ca2 In1 Mo1 O6,0.039968
wbm-3-60183,In4 Pd4,0.060906
wbm-3-69329,Eu2 Si4 Zn2,0.044597
wbm-2-18112,Fe2 Sb4,0.1894
wbm-1-25586,Li1 Ni2 Pb1,0.133451
wbm-3-36940,Eu4 Ge4 Li2,0.053634
wbm-3-580,Al4 As4 Yb2,0.273927
wbm-1-46309,Ag2 P2 Se6 Tl2,0.032387
wbm-1-12289,Cr2 Cu1,0.286819
wbm-1-26105,Li1 Pt1,0.125706
wbm-1-40138,Bi4 O12 Yb4,0.017544
wbm-5-6782,F6 Ho1 Mn1,0.025576
wbm-4-37120,In3 Os2 Sr3,0.468042
wbm-1-10517,Cl8 U2,0.005173
wbm-4-37770,Fe2 Ir1 Ti1,0.080112
wbm-5-1824,Al3 Pt3 Zn3,0.076141
wbm-1-12390,Cr8 Sn4,0.380824
wbm-1-15583,Ca1 F6 Nb1,-0.00485
wbm-1-17237,Fe3 Rh1,0.211456
wbm-1-22168,Bi4 In4,0.060705
wbm-5-11930,Al3 Ge2 Mg1 Pa3,0.083933
wbm-3-54053,Mg1 O6 Rh1 Yb2,-0.035355
wbm-2-48557,Ir4 Pb4 Sm2,0.189501
wbm-3-76021,Pt2 V1 Zr1,0.280596
wbm-3-25459,Fe4 Nb1 Zn1,-0.019503
wbm-2-11930,Co4 Nd4,0.01122
wbm-1-45441,Ag3 P1,0.239098
wbm-1-24589,Au1 Li1 Tl2,0.126284
wbm-2-27645,Bi1 Ce1 Mn1,0.39848
wbm-5-19290,Os2 Sc2,0.283748
wbm-1-26905,Cu1 Ga1 Mg2,0.059114
wbm-2-33159,Ni1 Pu1 Tl2,0.30318
wbm-3-5904,As4 Gd2,0.19057
wbm-4-16750,Ba1 In2 Lu1,0.142217
wbm-4-27106,Ca2 Na1 O6 W1,0.097274
wbm-3-35364,Ho4 K2 Pt4,0.310437
wbm-4-30443,Bi1 Pd1 Tb1,0.218589
wbm-1-34702,In3 Ni2 Sr2,0.03701
wbm-2-28028,As2 Mn2 Ni2,0.021023
wbm-1-3446,Ag1 As1 Ba2,0.067472
wbm-2-25852,Cr1 Mg1 Sb1,0.28987
wbm-1-23689,Li4 Mn2,0.454771
wbm-3-77793,Ga6 Gd1 Zn1,0.042554
wbm-2-36016,Ba2 O6 Rh1 Sc1,-0.081267
wbm-1-3669,As4 Rh4 Tb4,-0.053246
wbm-1-7912,C2 Lu4 S2,-0.198809
wbm-1-43307,Hf2 La1 O7 Rb1,0.156555
wbm-3-78565,Sm3 Tl3 Zn3,0.062035
wbm-2-9071,Ca2 Ga8 Ru2,0.057696
wbm-1-12869,Cr4 Zn8,0.288765
wbm-1-33707,Au24 Na8 Sn8,0.050836
wbm-4-28450,I2 O2 Pa2,-0.02806
wbm-5-19518,Br2 Nb2 Se1,0.344128
wbm-2-32400,Cu4 Ni2 Yb4,0.155152
wbm-1-41826,As1 Na5 O5,0.104335
wbm-4-34691,Co2 Ni2 Si4,0.156773
wbm-1-42296,Ga1 Nb1 O6 Sr2,0.008931
wbm-1-29105,In1 Mn2 Nb1,0.194717
wbm-3-45627,N2 Pd2 V6,0.080982
wbm-2-42256,S6 Sm3,0.271477
wbm-1-25641,Li1 Ni1 Zr2,0.220222
wbm-5-13935,In2 N2 Sm4,0.139093
wbm-3-16128,Co4 Rh2 Y2,0.247377
wbm-2-30542,Ga1 Na1 Y2,0.206729
wbm-4-34302,Nb1 Rb1 Se2,0.232139
wbm-2-36615,Fe1 O8 Rb1 Se2,-0.017798
wbm-5-6681,Er1 F6 K2,0.07963
wbm-3-58085,P2 Sn2 Y1,0.195214
wbm-2-884,Al4 Pu2 Rh2,0.432323
wbm-4-14105,Ga2 Ir2 Sm2,-0.123241
wbm-2-14997,Al4 F8,0.163099
wbm-4-6704,Cd1 Cl6 Rb2,-0.062588
wbm-2-334,Ag1 Bi1 Tb2,0.161545
wbm-3-14991,Cl6 Cr1 Rb3,-0.007984
wbm-3-22285,Au1 Ba1 F6,-0.013609
wbm-2-13536,Cu4 Eu1 Ga1,0.045645
wbm-4-21129,Ce3 Hg3 Mn3,0.633843
wbm-1-13136,Cu2 Sb1 Te1,0.035965
wbm-3-62183,Er2 Rh2 Sn2,0.113472
wbm-2-27095,Ir2 Mg1 Zn1,0.098379
wbm-1-40116,O6 V2 Zn2,0.105216
wbm-4-23216,Cd1 Na1 Rh1 Tl1,0.06749
wbm-1-31133,N3 Os1 Pr1,0.136028
wbm-3-2618,Al8 Ba2 Ni2,0.136172
wbm-3-69842,Co2 Cu1 Si4,0.108187
wbm-1-38707,Fe1 O3,0.647556
wbm-2-27641,Ce6 Mn2,0.063088
wbm-1-15279,Au2 Cs2 F8,-0.010013
wbm-1-32596,Fe2 Na4 S4,0.145274
wbm-3-69444,Co1 Pu1 Si3,-0.049744
wbm-2-7301,C4 Fe2 U2,0.070837
wbm-1-57937,Te6 Ti4,0.024024
wbm-1-51428,Ni1 Sb2 Sc6,0.015073
wbm-4-14403,Ge2 In3 Os1 Pr3,0.046891
wbm-3-19175,As4 Cu4 Er2,0.178885
wbm-3-47699,Ge2 Ni4 Zr2,0.029436
wbm-2-8458,C1 Pt3 Tb1,0.526885
wbm-3-48971,Ga3 Ni1 Sn2 Yb3,0.076375
wbm-4-481,Al4 Np4 Pb2,0.271169
wbm-2-42779,Cs2 Pd4 S6,0.017842
wbm-1-59033,Pd6 V4,0.058281
wbm-4-18193,As2 Co2 Li1 Nd1,0.042965
wbm-3-9183,B3 Fe6 Yb3,0.163311
wbm-3-66418,Br3 Sb1 Sc3,0.180637
wbm-1-14188,Cu2 Se4 Y2,0.003389
wbm-1-34669,La1 Ni2 Sn1,0.170424
wbm-2-50019,Ag1 Os1 Ti2,0.17041
wbm-1-59950,Pt3 Tl3 Y3,0.047414
wbm-2-21952,H1 N1 U1,0.265311
wbm-4-32752,La2 Mn2 S6 Tl2,0.005443
wbm-3-33734,Au4 In4 Pb2,0.070743
wbm-2-38108,Cu2 P4 Sc3 Zn2,0.129696
wbm-2-39289,P4 Pu4 Ti4,0.127451
wbm-3-66371,Pb1 Pd1 Sc2,0.069975
wbm-1-54020,Rh4 Si8 Zr4,0.051286
wbm-2-13938,Cu2 Ga4 Ho2,-0.021158
wbm-3-8530,B4 Hf1 Yb1,0.165193
wbm-2-6232,B3 Ni6 Tm3,0.014876
wbm-2-19678,Ba2 Ge4 Rh2,0.061149
wbm-3-72262,Nd2 Si2 V2,0.073231
wbm-2-19858,Ge2 Os3 Y1,0.236837
wbm-2-28941,Mo2 N6 Np2,0.021302
wbm-5-13241,Ga5 Mn1 Pa1,0.024635
wbm-3-27110,Fe3 Sn3 Sr3,0.535196
wbm-2-47323,Fe4 Si2 Sr4,0.392858
wbm-2-42410,Cr2 Ge2 S6,0.049484
wbm-3-8276,B4 Eu1 Hf1,0.251678
wbm-1-5806,Al1 Be1 Cr2,0.344091
wbm-4-28707,Fe2 P4 Th4,0.068901
wbm-1-5349,B1 In1 Rh3,-0.055616
wbm-1-5576,Ba2 Ir2 Tl8,0.107874
wbm-1-10685,Cl6 Cs2 Nb1,-0.051264
wbm-4-3558,Au4 Hg2 Np4,0.126437
wbm-2-34362,Eu1 O3 V1,0.049992
wbm-2-22976,Ir2 K4 Sb2,0.307786
wbm-3-18720,Cr1 Ge1 Pm2,0.176912
wbm-1-26549,Li1 Sn1,0.004965
wbm-4-24915,Ni2 Sn2 Zn2,0.041479
wbm-3-32585,Cu1 H5 Pr2,0.14674
wbm-4-1862,Al2 Cl2 Lu2,0.145039
wbm-4-27782,O6 Sr2 V1 W1,-0.035676
wbm-1-16164,Cd1 F6 Nb1,0.030282
wbm-2-36926,In1 Mo2 O8 Y1,0.124603
wbm-2-31627,Ni4 Rb2 Te6,0.021199
wbm-2-28069,Ho3 Mn3 Pd3,0.226023
wbm-1-35457,Ga3 Ni3 Tm3,0.011459
wbm-3-72088,Pt1 Si1 Sr2,0.381561
wbm-1-32366,Ga1 N1 V3,0.081696
wbm-3-68560,Cu2 Hf2 Si4,0.21742
wbm-1-13173,Cu4 Eu2 Sn4,0.471895
wbm-2-8337,C1 Lu2 Si2 W2,-0.031598
wbm-1-36988,Cs2 F2 O4 Se2,-0.107767
wbm-3-45798,Na2 P2 Tm1,0.210884
wbm-2-42060,Ge1 Ir1 S2,0.392926
wbm-2-39295,P4 Ti4 Tm4,0.042865
wbm-5-12270,Mg1 Mo1 Pt2,0.250212
wbm-4-5806,Ca2 Fe4 Rh4,0.231685
wbm-2-38406,Cs2 Cu2 P2 Se6,0.048324
wbm-1-32460,Ca1 Ge1 Na2,0.250935
wbm-3-4711,Al2 Ir4 Nd2,0.204088
wbm-3-27155,Fe1 Sm1 Te2,0.527156
wbm-4-3859,B2 Mn1 O6 Yb1,-0.001302
wbm-1-34231,Nb2 W4,0.133186
wbm-1-52721,Sb2 Se3,0.002082
wbm-3-64464,K2 Pt2 S6 Ti2,0.164982
wbm-3-61581,Nd3 Rh4 Sn2,0.062828
wbm-4-28786,Ni2 P2 Rb1 Y1,0.089788
wbm-2-38376,Cs3 P1,0.156758
wbm-2-30066,Ge1 Mg1 Na2,0.057233
wbm-4-6602,Cl3 Ge1 U3,0.368375
wbm-3-45844,Fe1 In1 Na2 S4,0.092159
wbm-3-31934,Er6 H4 Pb2,0.152291
wbm-3-49072,Gd3 Ni3 Pb3,-0.022107
wbm-4-15908,H8 Nd2 Pt2,0.032848
wbm-2-27990,Er4 Mn2 Ni4,0.120588
wbm-3-76554,Hg2 Np1 Yb1,0.301607
wbm-3-7712,B4 Nd2 Pt4,0.168625
wbm-1-50851,S1 Ta1,0.773675
wbm-3-73586,Rh1 Sb2 Sr6,0.059691
wbm-3-57833,Fe1 Mn6 P2,0.118249
wbm-1-56940,Sr1 Te4 Tl2,0.186503
wbm-1-7045,Al4 C5 Th2,0.124832
wbm-1-23101,K2 Sb2 Se4,-0.006459
wbm-1-55178,Ni5 Si1 Sn1,0.042529
wbm-1-22021,In6 W3,0.67756
wbm-1-23301,Ho6 La2,0.028783
wbm-1-47933,Cd2 Rh2,-0.051716
wbm-1-30405,N4 Nb6,0.027002
wbm-2-29846,La3 N1 P1,0.230797
wbm-2-23558,Ir4 La8,0.012606
wbm-3-4455,Al1 Ge1 Tb2,0.245466
wbm-4-3231,As4 Rh6 Tb1,-0.036988
wbm-2-49126,Ru2 Sr2 Tl3,0.358653
wbm-4-3516,As4 Au4 Te4,0.011739
wbm-4-9492,Br4 Cu2,0.052347
wbm-3-53078,Ba2 O6 Os1 Yb1,-0.120219
wbm-5-13688,Cr1 K2 N2,0.54188
wbm-2-17942,Au2 Fe2 Lu2,0.386688
wbm-5-7219,F6 V1 Zn1,-0.02394
wbm-3-64827,Ni2 S6 Sn2 Ti2,0.062336
wbm-1-11292,Co3 Ir1,0.043812
wbm-1-61096,Ru2 Sb1 Zn1,0.083285
wbm-3-16720,Au1 Co1 Pu2,0.101001
wbm-5-13016,Hg1 Ir2 Mn3,0.174484
wbm-1-34841,As2 Ni6,0.066708
wbm-1-51588,Bi1 Cu1 Sc1,0.168877
wbm-2-32073,Dy3 Ni4 Sn4,0.0473
wbm-2-46891,Ag1 Nd2 Si1,0.073428
wbm-4-2254,Ag6 Al2 K4,0.062897
wbm-1-14767,Ag1 Cs1 F3,0.008575
wbm-1-47446,Cs3 Rb1,0.036651
wbm-2-36238,Ba2 O6 Rh1 Y1,-0.067851
wbm-1-1761,Al2 Ca2 Co2,0.25891
wbm-2-35883,Ir3 Ni1 O6,0.287345
wbm-3-33048,H8 Lu1 Mg2 Ni1,0.162509
wbm-4-19345,Al8 Cu2 Mg2,0.040073
wbm-1-41959,Ba2 Eu1 O6 W1,-0.055154
wbm-2-24554,Li1 Mn1 Ru1 Sn1,0.095666
wbm-2-11975,Co3 Ni3 Tm3,0.147331
wbm-1-19979,Ge3 Ru6,0.223537
wbm-4-14789,Ag4 Ge4 Yb4,-0.035237
wbm-3-4498,Al3 Au3 Ho3,-0.003828
wbm-3-62997,Ho2 Pb2 Ru2,0.030248
wbm-4-16830,In2 Sb2 Sm1,0.145727
wbm-1-31470,N5 O2 Tm5,0.183493
wbm-4-25230,O6 Rh4,0.091666
wbm-3-20933,Cu2 Nd6,0.022253
wbm-2-45027,Se6 Sm2,-0.122899
wbm-1-35411,Ga5 La1 Ni1,0.054992
wbm-3-926,Al2 Hf4 In5,0.046912
wbm-2-22912,Cd1 In1 K2,0.100788
wbm-4-8511,As2 Cr2 Pr2,0.465736
wbm-2-20420,Ge2 Hf4,0.127403
wbm-3-3064,Al5 Ni1 Th1,0.076668
wbm-5-15800,O1 Rb1 Sm3,0.621385
wbm-3-70895,Cu1 Pu2 Si1,0.267325
wbm-1-21926,Ho2 I2,0.19058
wbm-3-45556,I2 N2 Sr2,1.086381
wbm-1-1083,Al2 Pt1 Zr6,0.011758
wbm-1-42862,Ba2 O6 Sb1 Sr1,0.00989
wbm-1-22418,In3 Ir3 Tm3,-0.057817
wbm-4-36452,Hg1 Ir2 Sm3,-0.057789
wbm-2-40315,Bi2 Pt1 U6,0.308149
wbm-2-39868,Dy2 Hg4 Pd2,0.019702
wbm-2-9918,Au4 Cd2 Tb4,-0.004939
wbm-4-5675,Bi2 Ca6 Os1,0.120405
wbm-1-9501,Cd1 Pt2 Tl1,0.150879
wbm-1-36727,Cu4 Eu2 O4,0.18856
wbm-4-5185,C2 In4 Sb2,0.799642
wbm-3-2353,Al3 Ge2 V3 Zn1,0.234111
wbm-5-21973,Ni1 Rh2 V2,0.292639
wbm-2-28782,Br2 N6 Sr2,0.024147
wbm-2-2593,Al3 Dy3 Pt3,0.01914
wbm-3-1225,Al2 Ni1 S4,0.108259
wbm-4-14070,Ga4 Pr4 Ru4,-0.079758
